epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.15326204895973206,0.0010000000474974513,2.2456681728363037,0.09069378674030304,2.0683906078338623
1,0.15869587659835815,0.0010000000474974513,2.087458848953247,0.15463916957378387,2.043229579925537
2,0.19509561359882355,0.0010000000474974513,1.9906370639801025,0.2192811369895935,1.9535295963287354
3,0.23776516318321228,0.0010000000474974513,1.8939684629440308,0.13652828335762024,2.33984112739563
4,0.3188895583152771,0.0010000000474974513,1.7951208353042603,0.37628865242004395,1.7134894132614136
5,0.3721480965614319,0.0010000000474974513,1.7063593864440918,0.20423516631126404,2.2799439430236816
6,0.4044376313686371,0.0010000000474974513,1.6391067504882812,0.4513792097568512,1.5428520441055298
7,0.425685316324234,0.0010000000474974513,1.6108711957931519,0.4321537911891937,1.6541039943695068
8,0.4401407241821289,0.0010000000474974513,1.5752283334732056,0.49414879083633423,1.4632816314697266
9,0.45497927069664,0.0010000000474974513,1.5516531467437744,0.500417947769165,1.423712968826294
10,0.4673795700073242,0.0010000000474974513,1.522506833076477,0.43619391322135925,1.6654833555221558
11,0.47249990701675415,0.0010000000474974513,1.521763801574707,0.5169963836669922,1.4101088047027588
12,0.48880141973495483,0.0010000000474974513,1.4864953756332397,0.500278651714325,1.4463824033737183
13,0.4882092773914337,0.0010000000474974513,1.4819247722625732,0.492337703704834,1.4845666885375977
14,0.49465325474739075,0.0010000000474974513,1.4715420007705688,0.5146280527114868,1.4098012447357178
15,0.5049984455108643,0.0010000000474974513,1.471876859664917,0.4321537911891937,1.6790047883987427
16,0.507576048374176,0.0010000000474974513,1.4576680660247803,0.5208972096443176,1.4356242418289185
17,0.5114075541496277,0.0010000000474974513,1.444460153579712,0.5044580698013306,1.478865146636963
18,0.5170852541923523,0.0010000000474974513,1.426196813583374,0.3668152689933777,1.6983702182769775
19,0.5156222581863403,0.0010000000474974513,1.441466212272644,0.5112844705581665,1.454905390739441
20,0.5206032991409302,0.0010000000474974513,1.420648217201233,0.5162997841835022,1.4349254369735718
21,0.5228673815727234,0.0010000000474974513,1.4189233779907227,0.5413764119148254,1.3620818853378296
22,0.5256191492080688,0.0010000000474974513,1.408942699432373,0.5416550636291504,1.3628462553024292
23,0.528440535068512,0.0010000000474974513,1.4058845043182373,0.5338534116744995,1.3969147205352783
24,0.5326552391052246,0.0010000000474974513,1.3964965343475342,0.530231237411499,1.392870545387268
25,0.5304608345031738,0.0010000000474974513,1.3942055702209473,0.5597659349441528,1.317075252532959
26,0.5374273061752319,0.0010000000474974513,1.3922754526138306,0.5296739935874939,1.4509053230285645
27,0.5429655909538269,0.0010000000474974513,1.3769404888153076,0.576762318611145,1.2966947555541992
28,0.5436971187591553,0.0010000000474974513,1.377343773841858,0.5408191680908203,1.3830358982086182
29,0.5431049466133118,0.0010000000474974513,1.3855671882629395,0.5285595059394836,1.4439462423324585
30,0.5436971187591553,0.0010000000474974513,1.369136095046997,0.5759264230728149,1.3032537698745728
31,0.54052734375,0.0010000000474974513,1.3842343091964722,0.576762318611145,1.2832313776016235
32,0.5509770512580872,0.0010000000474974513,1.3561636209487915,0.5898578763008118,1.2785680294036865
33,0.5519523620605469,0.0010000000474974513,1.3408244848251343,0.5873502492904663,1.274430751800537
34,0.5474938154220581,0.0010000000474974513,1.365269422531128,0.5438840985298157,1.3960983753204346
35,0.552614152431488,0.0010000000474974513,1.367760181427002,0.48620784282684326,1.5812363624572754
36,0.5597547888755798,0.0010000000474974513,1.3472906351089478,0.5472276210784912,1.4422595500946045
37,0.5572468638420105,0.0010000000474974513,1.3564828634262085,0.5954304933547974,1.2807447910308838
38,0.5571075081825256,0.0010000000474974513,1.3513010740280151,0.5320423245429993,1.4609270095825195
39,0.5605907440185547,0.0010000000474974513,1.344637155532837,0.6078294515609741,1.243475079536438
